student_code,snapshot_id,cutoff_date,outcome_date,grado,seccion_codigo,promedio_general,cursos_desaprobados,asistencia_general,frecuencia_acceso_lms,tiempo_interaccion_lms,actividades_realizadas,recursos_consultados,target_desercion,target_label,split,data_mode,dataset_version
EST-0034,EST-0034-T1,2026-07-31,2026-12-15,1,1C,19.37,0,99.5,7.02,12.59,15,8,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0034,EST-0034-T2,2026-09-21,2026-12-15,1,1C,19.5,0,97.78,7.25,14.52,13,9,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0035,EST-0035-T1,2026-07-31,2026-12-15,1,1C,14.23,0,99.11,8.16,14.55,16,11,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0035,EST-0035-T2,2026-09-21,2026-12-15,1,1C,14.16,0,99.5,6.54,13.84,13,10,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0036,EST-0036-T1,2026-07-31,2026-12-15,1,1D,16.49,0,92.93,7.4,9.05,13,11,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0036,EST-0036-T2,2026-09-21,2026-12-15,1,1D,15.33,0,89.76,6.77,9.28,11,11,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0038,EST-0038-T1,2026-07-31,2026-12-15,1,1D,11.42,0,91.63,10.53,19.82,13,15,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0038,EST-0038-T2,2026-09-21,2026-12-15,1,1D,11.86,0,93.26,9.35,17.98,16,14,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0039,EST-0039-T1,2026-07-31,2026-12-15,1,1D,13.55,0,88.06,6.94,15.29,14,11,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0039,EST-0039-T2,2026-09-21,2026-12-15,1,1D,12.92,0,86.2,6.75,11.43,13,10,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0040,EST-0040-T1,2026-07-31,2026-12-15,1,1D,15.58,0,90.92,7.98,19.07,12,10,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0040,EST-0040-T2,2026-09-21,2026-12-15,1,1D,15.5,0,89.11,6.79,13.84,12,9,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0041,EST-0041-T1,2026-07-31,2026-12-15,1,1D,15.37,0,93.24,8.48,17.34,18,13,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0041,EST-0041-T2,2026-09-21,2026-12-15,1,1D,13.92,0,86.3,8.49,17.51,16,12,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0042,EST-0042-T1,2026-07-31,2026-12-15,1,1D,17.1,0,99.5,10.5,14.36,19,12,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0042,EST-0042-T2,2026-09-21,2026-12-15,1,1D,15.72,0,99.27,8.79,14.97,17,11,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0043,EST-0043-T1,2026-07-31,2026-12-15,1,1D,14.43,0,95.24,6.3,13.78,16,10,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0043,EST-0043-T2,2026-09-21,2026-12-15,1,1D,13.42,0,90.11,6.52,13.87,16,9,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0044,EST-0044-T1,2026-07-31,2026-12-15,1,1D,16.74,0,89.25,8.7,10.08,12,12,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0044,EST-0044-T2,2026-09-21,2026-12-15,1,1D,17.01,0,91.03,7.31,11.95,13,11,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0045,EST-0045-T1,2026-07-31,2026-12-15,1,1D,15.53,0,88.18,9.19,15.68,16,13,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0045,EST-0045-T2,2026-09-21,2026-12-15,1,1D,14.55,0,87.02,8.85,17.06,15,12,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0047,EST-0047-T1,2026-07-31,2026-12-15,2,2A,14.57,0,94.7,7.76,8.41,12,13,1,deserta,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0047,EST-0047-T2,2026-09-21,2026-12-15,2,2A,13.45,0,90.82,6.28,10.24,11,11,1,deserta,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0048,EST-0048-T1,2026-07-31,2026-12-15,2,2A,13.85,0,97.77,6.44,14.71,12,13,1,deserta,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0048,EST-0048-T2,2026-09-21,2026-12-15,2,2A,13.53,0,96.2,5.91,12.24,14,11,1,deserta,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0049,EST-0049-T1,2026-07-31,2026-12-15,2,2A,17.33,0,88.08,5.65,11.97,13,12,1,deserta,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0049,EST-0049-T2,2026-09-21,2026-12-15,2,2A,15.78,0,90.14,6.5,11.72,12,10,1,deserta,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0050,EST-0050-T1,2026-07-31,2026-12-15,2,2A,13.49,0,97.76,8.41,14.56,18,9,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0050,EST-0050-T2,2026-09-21,2026-12-15,2,2A,13.48,0,95.21,7.77,13.96,15,9,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0051,EST-0051-T1,2026-07-31,2026-12-15,2,2A,14.51,0,94.9,5.99,8.07,11,8,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0051,EST-0051-T2,2026-09-21,2026-12-15,2,2A,13.67,0,96.08,6.01,8.18,11,9,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0052,EST-0052-T1,2026-07-31,2026-12-15,2,2A,15.41,0,98.18,5.36,10.02,12,10,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0052,EST-0052-T2,2026-09-21,2026-12-15,2,2A,14.36,0,95.74,4.59,7.14,10,8,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0053,EST-0053-T1,2026-07-31,2026-12-15,2,2A,14.24,0,91.17,4.92,7.97,13,10,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0053,EST-0053-T2,2026-09-21,2026-12-15,2,2A,13.23,0,92.02,4.93,9.45,11,9,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0054,EST-0054-T1,2026-07-31,2026-12-15,2,2A,16.8,0,99.31,11.07,21.28,16,16,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0054,EST-0054-T2,2026-09-21,2026-12-15,2,2A,16.84,0,99.5,10.66,18.25,16,14,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0056,EST-0056-T1,2026-07-31,2026-12-15,2,2A,15.38,0,99.5,6.95,15.76,14,8,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0056,EST-0056-T2,2026-09-21,2026-12-15,2,2A,14.99,0,99.5,6.9,14.89,15,9,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0057,EST-0057-T1,2026-07-31,2026-12-15,2,2A,15.91,0,85.97,5.32,7.67,11,11,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0057,EST-0057-T2,2026-09-21,2026-12-15,2,2A,14.86,0,85.86,5.56,10.28,11,9,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0058,EST-0058-T1,2026-07-31,2026-12-15,2,2A,14.93,0,94.39,7.0,8.68,13,12,1,deserta,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0058,EST-0058-T2,2026-09-21,2026-12-15,2,2A,13.18,0,91.75,7.92,13.71,13,12,1,deserta,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0059,EST-0059-T1,2026-07-31,2026-12-15,2,2B,16.68,0,93.64,7.35,13.38,19,12,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0059,EST-0059-T2,2026-09-21,2026-12-15,2,2B,15.42,0,92.05,7.95,13.18,16,12,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0060,EST-0060-T1,2026-07-31,2026-12-15,2,2B,16.57,0,94.51,10.54,17.59,15,16,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0060,EST-0060-T2,2026-09-21,2026-12-15,2,2B,16.77,0,95.85,9.98,19.66,15,15,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0061,EST-0061-T1,2026-07-31,2026-12-15,2,2B,14.16,0,95.88,10.34,14.48,16,13,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0061,EST-0061-T2,2026-09-21,2026-12-15,2,2B,15.04,0,96.98,9.08,18.44,16,13,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0062,EST-0062-T1,2026-07-31,2026-12-15,2,2B,13.69,0,86.52,5.15,14.21,14,9,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0062,EST-0062-T2,2026-09-21,2026-12-15,2,2B,14.46,0,89.15,5.9,13.29,12,11,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0063,EST-0063-T1,2026-07-31,2026-12-15,2,2B,15.72,0,97.09,6.61,14.1,14,9,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0063,EST-0063-T2,2026-09-21,2026-12-15,2,2B,14.85,0,95.4,6.42,13.12,15,9,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0065,EST-0065-T1,2026-07-31,2026-12-15,2,2B,12.02,0,86.81,8.92,23.4,18,16,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0065,EST-0065-T2,2026-09-21,2026-12-15,2,2B,11.11,0,86.68,8.8,19.5,17,14,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0066,EST-0066-T1,2026-07-31,2026-12-15,2,2B,16.07,0,99.01,8.49,19.49,21,13,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0066,EST-0066-T2,2026-09-21,2026-12-15,2,2B,16.07,0,96.68,9.45,20.99,18,12,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0067,EST-0067-T1,2026-07-31,2026-12-15,2,2B,13.18,0,99.5,7.32,13.37,13,11,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0067,EST-0067-T2,2026-09-21,2026-12-15,2,2B,12.75,0,99.5,6.78,12.46,12,10,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0068,EST-0068-T1,2026-07-31,2026-12-15,2,2B,15.61,0,89.46,6.58,12.71,12,12,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0068,EST-0068-T2,2026-09-21,2026-12-15,2,2B,15.23,0,89.82,5.32,10.68,13,11,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0069,EST-0069-T1,2026-07-31,2026-12-15,2,2B,15.17,0,88.81,10.15,18.85,16,13,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0069,EST-0069-T2,2026-09-21,2026-12-15,2,2B,14.65,0,87.59,9.02,19.91,19,13,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0070,EST-0070-T1,2026-07-31,2026-12-15,2,2B,16.1,0,93.14,9.1,17.76,10,9,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0070,EST-0070-T2,2026-09-21,2026-12-15,2,2B,16.15,0,96.03,7.45,15.72,13,10,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0071,EST-0071-T1,2026-07-31,2026-12-15,2,2C,13.65,0,99.5,6.4,16.52,16,10,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0071,EST-0071-T2,2026-09-21,2026-12-15,2,2C,12.32,0,97.45,7.46,16.01,16,10,0,permanece,validation,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0072,EST-0072-T1,2026-07-31,2026-12-15,2,2C,14.35,0,89.88,8.3,16.51,15,12,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0072,EST-0072-T2,2026-09-21,2026-12-15,2,2C,13.9,0,90.41,7.66,16.52,14,12,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0074,EST-0074-T1,2026-07-31,2026-12-15,2,2C,14.87,0,99.5,5.81,9.32,13,10,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0074,EST-0074-T2,2026-09-21,2026-12-15,2,2C,13.48,0,99.5,6.06,8.39,12,9,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0075,EST-0075-T1,2026-07-31,2026-12-15,2,2C,12.75,0,91.11,8.36,14.29,14,12,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0075,EST-0075-T2,2026-09-21,2026-12-15,2,2C,12.41,0,89.13,7.2,14.4,13,13,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0076,EST-0076-T1,2026-07-31,2026-12-15,2,2C,14.41,0,98.46,11.06,22.65,20,14,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0076,EST-0076-T2,2026-09-21,2026-12-15,2,2C,15.38,0,99.5,10.42,19.94,18,14,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0077,EST-0077-T1,2026-07-31,2026-12-15,2,2C,17.41,0,92.38,11.45,15.43,15,13,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0077,EST-0077-T2,2026-09-21,2026-12-15,2,2C,15.44,0,88.46,9.9,17.14,15,13,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0078,EST-0078-T1,2026-07-31,2026-12-15,2,2C,14.79,1,98.11,9.2,15.57,16,12,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0078,EST-0078-T2,2026-09-21,2026-12-15,2,2C,15.45,0,99.5,9.01,15.57,15,13,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0079,EST-0079-T1,2026-07-31,2026-12-15,2,2C,14.87,0,99.5,5.95,14.06,14,7,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0079,EST-0079-T2,2026-09-21,2026-12-15,2,2C,14.88,0,99.5,6.1,12.38,13,8,0,permanece,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0080,EST-0080-T1,2026-07-31,2026-12-15,2,2C,14.67,0,84.63,7.52,12.01,18,11,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0080,EST-0080-T2,2026-09-21,2026-12-15,2,2C,13.55,0,84.26,6.8,13.6,16,9,1,deserta,train,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0081,EST-0081-T1,2026-07-31,2026-12-15,2,2C,16.18,0,99.5,8.28,20.41,17,18,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0081,EST-0081-T2,2026-09-21,2026-12-15,2,2C,15.35,0,99.5,8.38,18.65,18,14,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0083,EST-0083-T1,2026-07-31,2026-12-15,2,2D,15.13,0,92.38,10.71,18.94,18,14,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
EST-0083,EST-0083-T2,2026-09-21,2026-12-15,2,2D,16.47,0,94.95,10.18,17.69,19,13,0,permanece,holdout,synthetic_scientific,BLENKIR_V6_SYNTH_20260924
